Distance (m),Lean Angle (deg)
0,0
1,0.0730891324
1,0.2922968299
1,0.6210903457
2,1.0228532188
2,1.3880216725
3,1.607082028
4,1.6436258813
4,1.5341049989
5,1.2419776105
6,0.9132794113
7,0.6210903457
8,0.4018978737
9,0.2557244183
10,0.2192091226
11,0.2557244183
13,0.2922968299
14,0.2557244183
15,0.109604962
17,-0.1826363247
18,-0.6941125727
20,-1.5340477152
21,-2.9202356285
23,-5.065070665
25,-8.2003851848
26,-11.9531181776
28,-16.0107434409
30,-20.0716612069
32,-23.8414082065
34,-26.8836395113
36,-29.0497321957
38,-30.5358079295
40,-31.5020646058
42,-32.0566836128
45,-32.2139265345
47,-32.1353727652
49,-32.0303963247
51,-31.9515265322
54,-32.0566836128
56,-32.3706281449
58,-32.9405637882
61,-33.7818730534
63,-34.7799814433
66,-35.8506979736
68,-36.8231280671
71,-37.4733508735
73,-37.8626857821
76,-37.9764398886
78,-37.8854504354
81,-37.771450721
84,-37.771450721
86,-37.953695782
89,-38.2930294208
91,-38.7183348624
94,-39.1166572957
96,-39.4015549189
99,-39.6408415795
102,-39.8353902809
104,-40.0073809443
107,-40.1998662426
110,-40.4548257184
112,-40.7917792832
115,-41.1875565763
118,-41.5785802329
120,-41.6806840904
123,-41.3321577974
126,-40.5605031315
129,-39.2265229598
132,-37.28869608
135,-34.5822754377
138,-31.2890182945
141,-27.5770534233
144,-23.5042838193
147,-19.2616730602
151,-14.9929420842
154,-10.5473821465
157,-5.7891937859
160,-0.6210330276
164,4.9200552682
167,10.5827271105
171,16.0107434409
174,21.0327300241
177,25.6198507797
181,29.6881136082
184,33.2994580029
187,36.4937953199
191,39.2484412113
194,41.5581270973
197,43.3488415093
201,44.2815351632
204,44.393759988
208,43.8853827167
211,42.9596853847
215,41.8636968998
218,41.0006849272
222,40.5815854888
225,40.5815854888
229,40.9173004286
232,41.435071864
236,41.6602955574
239,41.0838592336
242,39.4887774714
246,36.8231280671
249,33.1460336523
253,29.1613123065
257,25.5901017067
260,22.5136844737
264,19.878007265
267,17.6508610464
271,15.8079886607
275,14.1029651707
278,12.5462938315
282,11.0409654329
286,9.5555773781
290,8.1287686611
293,6.6196980571
297,4.9563008846
301,3.0295457755
305,0.949843001
309,-1.2054210266
312,-3.1023689021
316,-4.4482287842
320,-5.2100210944
324,-5.2824998007
328,-4.702328918
332,-3.7212798864
336,-2.3733818101
340,-0.7671898617
344,1.1324195518
348,3.2116990187
352,5.4997766208
356,7.8421616388
360,10.2292483973
364,12.6506896026
368,15.06112281
372,17.3850719008
376,19.5217799758
380,21.1281693509
384,21.9186866161
387,22.7005326324
391,23.3196493947
395,23.9025384319
398,24.8423857794
402,25.827447596
405,25.886647808
409,25.9162025074
412,26.0638465656
416,26.3579755988
419,26.8254963968
422,27.4908487912
425,28.233476682
429,28.9379104402
432,29.6604959622
435,30.3456646105
439,31.2623352978
442,32.5527495683
445,34.3337956236
449,36.5646010203
452,39.0726426152
455,41.4761207074
458,43.3681590494
462,44.7094197984
465,45.4747275816
468,45.6182070498
471,45.003384943
475,43.6948341966
478,41.8028084887
481,39.3141482733
485,36.2806376426
488,32.914827865
492,29.5776388473
495,26.4752018628
499,23.8414561744
502,21.7612521822
506,20.4575365848
509,19.9426282618
513,20.0716612069
517,20.7776114149
520,21.8871978296
524,23.1036094251
528,24.1464340844
531,24.9926815428
535,25.73855954
539,26.4459291056
542,27.4045091146
546,28.7416300987
550,30.3184530118
554,31.9778590244
557,33.5032547062
561,34.3835863576
565,34.458200686
569,33.907947923
573,32.8632706845
576,31.4755022731
580,30.1274630305
584,29.0497321957
588,28.3468070361
592,27.9490744318
596,27.8062866364
600,27.6344631186
604,27.3180344684
608,26.9417684953
612,26.5921899697
616,26.3872929751
620,26.4752018628
624,26.8254963968
628,27.3469045017
632,27.8919954824
636,28.2618207456
640,27.9775689688
644,26.9708333289
648,25.3518582082
652,23.1345011349
656,20.4254704137
659,17.2851880488
663,13.9654285924
667,10.5473821465
670,7.1957874689
674,3.9395125371
678,0.8402646571
681,-2.081524184
685,-4.8111810242
688,-7.2676631798
692,-9.6266395637
695,-11.9531181776
699,-14.4461065502
702,-17.0516700854
705,-19.7162498762
709,-22.4200705405
712,-25.1425640534
715,-27.5770534233
719,-29.6329064863
722,-31.2356372212
725,-32.4487352642
729,-33.3249698084
732,-34.033611991
735,-34.5822754377
739,-34.903098149
742,-34.976783981
745,-34.5822754377
749,-33.8071415177
752,-32.8374493748
756,-31.9252202615
759,-31.3956830711
763,-31.8988989487
766,-33.4523850602
770,-35.5856897411
773,-37.9082367434
776,-40.0716636154
780,-41.5990204379
783,-42.3066816194
787,-42.2065637917
790,-41.3115164999
794,-39.6625009756
798,-37.3349540174
801,-34.7059425003
805,-32.0041351928
809,-29.439226756
812,-27.2314249305
816,-25.6495384679
820,-24.4802239922
824,-23.4735632495
827,-22.4824612382
831,-21.3186302222
835,-19.7810023897
839,-17.9820234786
843,-16.0444784467
847,-14.1716984153
851,-12.5810836532
855,-11.638030497
859,-11.3222281705
862,-11.4977794923
866,-12.127870255
870,-13.2059952504
874,-14.6173098772
878,-16.1456678382
881,-17.6840168914
885,-19.1639257821
889,-20.5537051001
893,-21.7927469968
896,-22.8558191048
900,-23.68840273
904,-24.2983570229
907,-24.6917244798
911,-24.7821556297
914,-24.7520422733
918,-24.7219143316
921,-24.6917244798
924,-24.7520422733
928,-24.9025574246
931,-25.1425640534
934,-25.4413216777
937,-25.827447596
941,-26.2992501961
944,-26.8836395113
947,-27.5770534233
950,-28.4598962976
953,-29.494645648
957,-30.644165057
960,-31.8988989487
963,-33.14599345
966,-34.3835863576
969,-35.5614831148
973,-36.6587950379
976,-37.634157342
979,-38.4727337283
982,-39.1386440625
985,-39.6841807899
988,-40.0502607112
991,-40.2425043174
995,-40.2850888168
998,-40.1998662426
1001,-40.0288443739
1004,-39.7490709166
1007,-39.2922710498
1011,-38.6292227112
1014,-37.7942716525
1017,-36.7762422234
1021,-35.5372998498
1024,-33.9834066507
1028,-32.0829146538
1031,-29.9082507027
1035,-27.4045091146
1038,-24.6917244798
1042,-21.9186372715
1046,-19.3267392976
1049,-16.9180058644
1053,-14.6856739079
1057,-12.546239209
1060,-10.3000190561
1064,-7.7345673528
1068,-4.8474953157
1072,-1.7165950026
1075,1.5341049989
1079,4.5208715516
1082,7.0878748576
1086,9.3422695045
1089,11.4275739859
1093,13.5862923694
1096,15.9769970439
1100,18.5750206492
1103,21.2552144586
1106,23.9025384319
1110,26.3872929751
1113,28.600951823
1116,30.5087021136
1119,32.1353727652
1122,33.5032547062
1125,34.7059812583
1129,35.8266893185
1132,36.869956596
1135,37.7028675292
1138,38.1350775839
1141,38.0218503034
1144,37.2424176107
1147,36.1139861081
1150,34.903098149
1153,33.8071415177
1156,33.0433982606
1159,33.0177221621
1162,33.9331419996
1165,35.6822566786
1168,38.1124672395
1171,40.8546156451
1174,43.5223483617
1177,45.4927201642
1180,46.4291107057
1183,46.2723175314
1186,45.003384943
1189,42.9401081193
1191,40.7288897907
1194,38.5846010108
1197,36.6117452353
1200,34.8292800015
1203,33.1972214471
1206,31.6347334162
1209,30.2639417167
1212,29.3004802473
1216,28.9379104402
1219,29.8533287118
1222,31.9778590244
1225,34.8538878861
1228,37.9991343091
1231,40.9381580998
1234,42.9401081193
1237,43.8092969406
1241,43.6948341966
1244,42.6843448272
1247,41.0006849272
1250,38.9622962384
1253,37.28869608
1256,36.2806376426
1260,36.1854842955
1263,37.0333508874
1266,38.6069187897
1269,40.1785438393
1273,41.3939388191
1276,42.085977363
1279,42.2065637917
1282,41.6806840904
1286,40.7918121613
1289,39.7058130669
1292,38.6292227112
1296,37.7257307357
1299,37.3118502962
1302,37.2655639469
1306,37.28869608
1309,37.1031680547
1312,36.4228600703
1315,34.7799814433
1318,32.1091718075
1321,28.3185081549
1324,23.3812674815
1328,17.2185211438
1331,10.0876682509
1334,2.4463418812
1336,-5.2100210944
1339,-12.546239209
1342,-19.1965040619
1345,-24.9926815428
1348,-29.9082507027
1351,-34.008516733
1354,-37.358043552
1357,-39.9429771277
1360,-41.639894122
1362,-42.6249885021
1365,-43.0574465928
1368,-43.0379008201
1371,-42.6249885021
1374,-41.8636968998
1377,-40.9798340064
1380,-40.1144626976
1383,-39.3797323024
1386,-38.8516054843
1389,-38.5845659641
1392,-38.5175293558
1396,-38.4727337283
1399,-38.3155633205
